Ca2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 36,  50,  7d3/2,  6f5/2,         6777.0(3)  ,           26.74(17) ,        ,     0.02305(47),  1.163(15)E+06  ,         6777.0,         0.3,   0.00,       26.74,        0.17,    0.64,        0.02305,        0.00047,    2.06,  1.1635E+06,  1.5E+04,    1.28
 38,  10,  8d3/2,  4p1/2,       160.0501(2)  ,          0.2960(70) ,        ,       0.336(11),  1.082(51)E+07  ,       160.0501,      0.0002,   0.00,      0.2960,      0.0070,    2.38,          0.336,          0.011,    3.19,  1.0822E+07,  5.1E+05,    4.75
 38,  11,  8d3/2,  4p3/2,       160.6231(2)  ,          0.1313(32) ,        ,      0.0654(32),  2.11(10)E+06   ,       160.6231,      0.0002,   0.00,      0.1313,      0.0032,    2.43,         0.0654,         0.0032,    4.83,  2.1086E+06,  1.0E+05,    4.86
 38,  12,  8d3/2,  5p1/2,        368.475(1)  ,          0.7744(66) ,        ,      0.1884(40),  6.07(10)E+06   ,        368.475,       0.001,   0.00,      0.7744,      0.0066,    0.86,         0.1884,         0.0040,    2.15,  6.0716E+06,  1.0E+05,    1.71
 38,  13,  8d3/2,  5p3/2,        369.540(1)  ,          0.3448(30) ,        ,     0.03703(88),  1.193(21)E+06  ,        369.540,       0.001,   0.00,      0.3448,      0.0030,    0.88,        0.03703,        0.00088,    2.38,  1.1934E+06,  2.1E+04,    1.76
 38,  14,  8d3/2,  6p1/2,        758.322(4)  ,          1.8021(83) ,        ,      0.1171(22),  3.772(35)E+06  ,        758.322,       0.004,   0.00,      1.8021,      0.0083,    0.46,         0.1171,         0.0022,    1.85,  3.7723E+06,  3.5E+04,    0.93
 38,  15,  8d3/2,  6p3/2,        760.446(4)  ,          0.8045(39) ,        ,     0.02314(44),  7.455(72)E+05  ,        760.446,       0.004,   0.00,      0.8045,      0.0039,    0.48,        0.02314,        0.00044,    1.91,  7.4554E+05,  7.2E+03,    0.96
 38,  16,  8d3/2,  7p1/2,           1620(1)  , *        4.7227(50) ,        ,      0.0825(14),  2.6592(86)E+06 ,          1620 ,          1 ,   0.08,      4.7227,      0.0050,    0.11,         0.0825,         0.0014,    1.69,  2.6592E+06,  8.6E+03,    0.32
 38,  17,  8d3/2,  7p3/2,           1625(1)  , *        2.1154(24) ,        ,     0.01640(28),  5.283(18)E+05  ,          1625 ,          1 ,   0.08,      2.1154,      0.0024,    0.11,        0.01640,        0.00028,    1.70,  5.2833E+05,  1.8E+03,    0.33
 38,  18,  8d3/2,  8p1/2,           4667(9)  , *        20.909(93) ,        ,      0.0676(13),  2.179(23)E+06  ,          4667 ,          9 ,   0.19,      20.909,       0.093,    0.44,         0.0676,         0.0013,    1.93,  2.1789E+06,  2.3E+04,    1.05
