key1,key2,From,To,value,uncertainity,Matrixelement,Ref                                                        
  1, 10,5s1/2,5p1/2,4.231,0.003,4.231(3),E31                                                                
  1, 11,5s1/2,5p3/2,5.978,0.005,5.978(5),E31                                                                
  1, 12,5s1/2,6p1/2,0.3235,0.0009,0.3235(9),E66                                                             
  1, 13,5s1/2,6p3/2,0.5230,0.0008,0.5230(8),E66                                                             
