Li1 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 43,  25, 10d5/2,  9p3/2,     3.7(1)E+04     ,           49.85(39) ,        ,     0.00812(90),  1.66(19)E+04   ,         36937 ,       1364 ,   3.69,       49.85,        0.39,    0.78,        0.00812,        0.00090,   11.11,  1.6650E+04,  1.9E+03,   11.19
 43,  44, 10d5/2,  4f5/2,           1736(3)  , *       0.04833(72) ,        ,   0.0000735(23),  1.508(46)E+02  ,          1736 ,          3 ,   0.17,     0.04833,     0.00072,    1.50,      0.0000735,      0.0000023,    3.07,  1.5083E+02,  4.6E+00,    3.04
 43,  45, 10d5/2,  4f7/2,           1736(3)  , *        0.2161(32) ,        ,    0.001470(45),  3.017(92)E+03  ,          1736 ,          3 ,   0.17,      0.2161,      0.0032,    1.49,       0.001470,       0.000045,    3.07,  3.0165E+03,  9.2E+01,    3.03
 43,  46, 10d5/2,  5f5/2,           3038(9)  , *        0.1415(48) ,        ,   0.0001176(81),  2.41(17)E+02   ,          3038 ,          9 ,   0.31,      0.1415,      0.0048,    3.41,      0.0001176,      0.0000081,    6.89,  2.4131E+02,  1.7E+01,    6.87
 43,  47, 10d5/2,  5f7/2,           3038(9)  , *         0.633(22) ,        ,     0.00235(16),  4.83(33)E+03   ,          3038 ,          9 ,   0.31,       0.633,       0.022,    3.41,        0.00235,        0.00016,    6.87,  4.8262E+03,  3.3E+02,    6.87
 43,  48, 10d5/2,  6f5/2,          5130(30)  , *       0.32392(16) ,        ,   0.0001281(21),  2.629(41)E+02  ,          5127 ,         26 ,   0.52,     0.32392,     0.00016,    0.05,      0.0001281,      0.0000021,    1.62,  2.6288E+02,  4.1E+00,    1.55
 43,  49, 10d5/2,  6f7/2,          5130(30)  , *       1.44861(72) ,        ,    0.002563(41),  5.258(81)E+03  ,          5127 ,         26 ,   0.52,     1.44861,     0.00072,    0.05,       0.002563,       0.000041,    1.61,  5.2578E+03,  8.1E+01,    1.55
 43,  50, 10d5/2,  7f5/2,          8760(80)  , *       0.75158(38) ,        ,   0.0001383(37),  2.838(75)E+02  ,          8760 ,         77 ,   0.88,     0.75158,     0.00038,    0.05,      0.0001383,      0.0000037,    2.68,  2.8380E+02,  7.5E+00,    2.64
 43,  51, 10d5/2,  7f7/2,          8760(80)  , *        3.3612(17) ,        ,    0.002767(74),  5.68(15)E+03   ,          8760 ,         77 ,   0.88,      3.3612,      0.0017,    0.05,       0.002767,       0.000074,    2.68,  5.6761E+03,  1.5E+02,    2.64
 43,  52, 10d5/2,  8f5/2,        16200(300)  , *       1.95235(98) ,        ,   0.0001471(72),  3.02(15)E+02   ,         16217 ,        264 ,   1.63,     1.95235,     0.00098,    0.05,      0.0001471,      0.0000072,    4.91,  3.0183E+02,  1.5E+01,    4.89
 43,  53, 10d5/2,  8f7/2,        16200(300)  , *        8.7313(44) ,        ,     0.00294(14),  6.04(30)E+03   ,         16217 ,        264 ,   1.63,      8.7313,      0.0044,    0.05,        0.00294,        0.00014,    4.90,  6.0367E+03,  3.0E+02,    4.89
 43,  54, 10d5/2,  9f5/2,     3.9(2)E+04     , *        7.5054(38) ,        ,    0.000157(18),  3.22(38)E+02   ,         38948 ,       1524 ,   3.91,      7.5054,      0.0038,    0.05,       0.000157,       0.000018,   11.75,  3.2198E+02,  3.8E+01,   11.74
 43,  55, 10d5/2,  9f7/2,     3.9(2)E+04     , *        33.566(17) ,        ,     0.00314(37),  6.44(76)E+03   ,         38948 ,       1524 ,   3.91,      33.566,       0.017,    0.05,        0.00314,        0.00037,   11.72,  6.4397E+03,  7.6E+02,   11.74
 43,  27, 10d5/2, 10p3/2,     1(1)E+06       ,          227.69(11) ,        ,    0.000008(25),  1.7(51)E+01    ,       1016260 ,    1032836 , 101.63,      227.69,        0.11,    0.05,       0.000008,       0.000025,  304.89,  1.6679E+01,  5.1E+01,  304.89
