Ra2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  7,  20, 13s1/2, 12p3/2,         11890(50)  , *        38.860(50) ,        ,     0.04737(54),  9.11(11)E+05   ,         11887 ,         45 ,   0.38,      38.860,       0.050,    0.13,        0.04737,        0.00054,    1.15,  9.1078E+05,  1.1E+04,    1.17
  8,   9, 14s1/2,  7p1/2,        180.034(5)  , *       0.12257(18) ,        ,     0.18755(66),  2.6082(77)E+06 ,        180.034,       0.005,   0.00,     0.12257,     0.00018,    0.15,        0.18755,        0.00066,    0.35,  2.6082E+06,  7.7E+03,    0.30
  8,  10, 14s1/2,  7p3/2,        197.288(6)  , *       0.16532(73) ,        ,      0.2593(17),  3.606(32)E+06  ,        197.288,       0.006,   0.00,     0.16532,     0.00073,    0.44,         0.2593,         0.0017,    0.67,  3.6056E+06,  3.2E+04,    0.89
  8,  11, 14s1/2,  8p1/2,         380.37(2)  , *       0.25307(46) ,        ,     0.08478(36),  1.1789(43)E+06 ,         380.37,        0.02,   0.01,     0.25307,     0.00046,    0.18,        0.08478,        0.00036,    0.42,  1.1789E+06,  4.3E+03,    0.36
  8,  12, 14s1/2,  8p3/2,         408.09(3)  , *       0.32509(98) ,        ,     0.11328(67),  1.5754(95)E+06 ,         408.09,        0.03,   0.01,     0.32509,     0.00098,    0.30,        0.11328,        0.00067,    0.59,  1.5754E+06,  9.5E+03,    0.60
  8,  13, 14s1/2,  9p1/2,          696.5(8)  , *       0.47914(92) ,        ,     0.04950(27),  6.884(35)E+05  ,          696.5,         0.8,   0.11,     0.47914,     0.00092,    0.19,        0.04950,        0.00027,    0.55,  6.8837E+05,  3.5E+03,    0.51
  8,  14, 14s1/2,  9p3/2,         741.52(8)  , *        0.5987(19) ,        ,     0.06404(41),  8.906(56)E+05  ,         741.52,        0.08,   0.01,      0.5987,      0.0019,    0.31,        0.06404,        0.00041,    0.64,  8.9057E+05,  5.6E+03,    0.63
  8,  15, 14s1/2, 10p1/2,           1219(1)  , *        0.9120(17) ,        ,     0.03343(18),  4.649(23)E+05  ,          1219 ,          1 ,   0.11,      0.9120,      0.0017,    0.19,        0.03343,        0.00018,    0.55,  4.6486E+05,  2.3E+03,    0.50
  8,  16, 14s1/2, 10p3/2,           1297(1)  , *        1.1251(36) ,        ,     0.04224(30),  5.875(41)E+05  ,          1297 ,          1 ,   0.09,      1.1251,      0.0036,    0.32,        0.04224,        0.00030,    0.72,  5.8747E+05,  4.1E+03,    0.70
  8,  17, 14s1/2, 11p1/2,           2178(3)  , *        1.8891(35) ,        ,     0.02518(14),  3.501(18)E+05  ,          2178 ,          3 ,   0.12,      1.8891,      0.0035,    0.19,        0.02518,        0.00014,    0.58,  3.5011E+05,  1.8E+03,    0.53
