Key,State,Value,Uncertainty,Lifetime,Units,Ref                                                          
 10,4p1/2,26.74,0.03,26.74(3),ns,E70                                                                    
 11,4p3/2,26.39,0.03,26.39(3),ns,E70                                                                    
