key1,key2,From,To,value,uncertainity,Matrixelement,Ref                                                        
 10,  1,2p1/2,2s1/2,3.3170,0.0004,3.3170(4),E71                                                             
 11,  1,2p3/2,2s1/2,4.6907,0.0006,4.6907(6),E71                                                             
