key1,key2,From,To,value,uncertainity,Matrixelement,Ref                                                        
  1, 10,4s1/2,4p1/2,4.106,0.002,4.106(2),E70                                                                
  1, 11,4s1/2,4p3/2,5.807,0.003,5.807(3),E70                                                                
