Key,State,Value,Uncertainty,Lifetime,Units,Ref                                                          
 10,2p1/2,27.102,0.007,27.102(2)(7),ns,E71                                                              
 11,2p3/2,27.102,0.007,27.102(2)(7),ns,E71                                                              
