K1  
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 17,  29,  7p3/2,  3d5/2,       1048.249(7)  ,           0.661(22) ,        ,      0.1222(77),  1.92(13)E+05   ,       1048.249,       0.007,   0.00,       0.661,       0.022,    3.35,         0.1222,         0.0077,    6.28,  1.9192E+05,  1.3E+04,    6.71
 17,  30,  7p3/2,  4d3/2,        2720.16(4)  ,           1.063(39) ,        ,      0.0181(14),  2.84(21)E+04   ,        2720.16,        0.04,   0.00,       1.063,       0.039,    3.71,         0.0181,         0.0014,    7.64,  2.8429E+04,  2.1E+03,    7.41
 17,  31,  7p3/2,  4d5/2,        2719.37(4)  ,            3.19(12) ,        ,       0.163(11),  2.56(19)E+05   ,        2719.37,        0.04,   0.00,        3.19,        0.12,    3.68,          0.163,          0.011,    6.47,  2.5626E+05,  1.9E+04,    7.36
 17,  32,  7p3/2,  5d3/2,        11253.0(8)  ,           10.70(38) ,        ,      0.0259(19),  4.07(29)E+04   ,        11253.0,         0.8,   0.01,       10.70,        0.38,    3.53,         0.0259,         0.0019,    7.25,  4.0703E+04,  2.9E+03,    7.05
 17,  33,  7p3/2,  5d5/2,        11246.6(8)  ,            32.1(11) ,        ,       0.233(13),  3.67(26)E+05   ,        11246.6,         0.8,   0.01,        32.1,         1.1,    3.52,          0.233,          0.013,    5.64,  3.6656E+05,  2.6E+04,    7.04
 19,   1,  8p3/2,  4s1/2,       310.2689(6)  ,          0.0364(44) ,        ,      0.0239(57),  2.24(55)E+04   ,       310.2689,      0.0006,   0.00,      0.0364,      0.0044,   12.19,         0.0239,         0.0057,   23.91,  2.2442E+04,  5.5E+03,   24.38
 19,   2,  8p3/2,  5s1/2,        892.574(5)  ,          0.2711(38) ,        ,      0.0558(20),  5.23(15)E+04   ,        892.574,       0.005,   0.00,      0.2711,      0.0038,    1.40,         0.0558,         0.0020,    3.56,  5.2343E+04,  1.5E+03,    2.81
 19,   3,  8p3/2,  6s1/2,        2092.31(3)  ,          0.9694(98) ,        ,      0.0554(17),  5.20(11)E+04   ,        2092.31,        0.03,   0.00,      0.9694,      0.0098,    1.01,         0.0554,         0.0017,    3.06,  5.1970E+04,  1.1E+03,    2.03
 19,   4,  8p3/2,  7s1/2,         5112.8(2)  ,           3.930(25) ,        ,      0.0624(17),  5.854(75)E+04  ,         5112.8,         0.2,   0.00,       3.930,       0.025,    0.64,         0.0624,         0.0017,    2.67,  5.8540E+04,  7.5E+02,    1.28
 19,   5,  8p3/2,  8s1/2,          21518(3)  ,           51.43(11) ,        ,      0.1434(35),  1.3446(60)E+05 ,         21518 ,          3 ,   0.01,       51.43,        0.11,    0.22,         0.1434,         0.0035,    2.41,  1.3446E+05,  6.0E+02,    0.44
 19,  28,  8p3/2,  3d3/2,        935.181(5)  ,          0.1403(70) ,        ,      0.0130(13),  1.22(12)E+04   ,        935.181,       0.005,   0.00,      0.1403,      0.0070,    4.97,         0.0130,         0.0013,   10.10,  1.2190E+04,  1.2E+03,    9.94
 19,  29,  8p3/2,  3d5/2,        934.979(5)  ,           0.421(21) ,        ,       0.117(11),  1.10(11)E+05   ,        934.979,       0.005,   0.00,       0.421,       0.021,    4.95,          0.117,          0.011,    8.98,  1.0983E+05,  1.1E+04,    9.90
 19,  30,  8p3/2,  4d3/2,        2069.55(3)  ,           0.516(20) ,        ,      0.0162(13),  1.52(12)E+04   ,        2069.55,        0.03,   0.00,       0.516,       0.020,    3.82,         0.0162,         0.0013,    7.88,  1.5199E+04,  1.2E+03,    7.64
 19,  31,  8p3/2,  4d5/2,        2069.09(3)  ,           1.548(59) ,        ,       0.146(10),  1.37(10)E+05   ,        2069.09,        0.03,   0.00,       1.548,       0.059,    3.80,          0.146,          0.010,    6.82,  1.3700E+05,  1.0E+04,    7.60
 19,  32,  8p3/2,  5d3/2,         4891.5(1)  ,           1.846(65) ,        ,      0.0157(12),  1.47(10)E+04   ,         4891.5,         0.1,   0.00,       1.846,       0.065,    3.54,         0.0157,         0.0012,    7.36,  1.4742E+04,  1.0E+03,    7.08
 19,  33,  8p3/2,  5d5/2,         4890.3(1)  ,            5.54(19) ,        ,      0.1417(91),  1.329(93)E+05  ,         4890.3,         0.1,   0.00,        5.54,        0.19,    3.51,         0.1417,         0.0091,    6.41,  1.3288E+05,  9.3E+03,    7.03
 19,  34,  8p3/2,  6d3/2,          18729(2)  ,           15.94(55) ,        ,      0.0209(15),  1.96(13)E+04   ,         18729 ,          2 ,   0.01,       15.94,        0.55,    3.43,         0.0209,         0.0015,    7.12,  1.9596E+04,  1.3E+03,    6.86
 19,  35,  8p3/2,  6d5/2,          18719(2)  ,            47.8(16) ,        ,       0.188(11),  1.76(12)E+05   ,         18719 ,          2 ,   0.01,        47.8,         1.6,    3.42,          0.188,          0.011,    5.90,  1.7646E+05,  1.2E+04,    6.84
 21,   1,  9p3/2,  4s1/2,       303.5645     ,          0.0244(35) ,        ,      0.0177(51),  1.08(31)E+04   ,       303.5645,      0.0000,   0.00,      0.0244,      0.0035,   14.51,         0.0177,         0.0051,   28.60,  1.0753E+04,  3.1E+03,   29.02
 21,   2,  9p3/2,  5s1/2,       839.2518(4)  ,          0.1782(26) ,        ,      0.0448(16),  2.720(80)E+04  ,       839.2518,      0.0004,   0.00,      0.1782,      0.0026,    1.46,         0.0448,         0.0016,    3.64,  2.7201E+04,  8.0E+02,    2.93
 21,   3,  9p3/2,  6s1/2,       1821.090(1)  ,          0.5444(48) ,        ,      0.0409(12),  2.486(44)E+04  ,       1821.090,       0.001,   0.00,      0.5444,      0.0048,    0.89,         0.0409,         0.0012,    2.88,  2.4861E+04,  4.4E+02,    1.77
 21,   4,  9p3/2,  7s1/2,       3748.579(6)  ,           1.567(10) ,        ,      0.0389(10),  2.360(31)E+04  ,       3748.579,       0.006,   0.00,       1.567,       0.010,    0.66,         0.0389,         0.0010,    2.65,  2.3600E+04,  3.1E+02,    1.32
 21,   5,  9p3/2,  8s1/2,        8499.43(3)  ,           5.709(34) ,        ,      0.0443(11),  2.689(32)E+04  ,        8499.43,        0.03,   0.00,       5.709,       0.034,    0.59,         0.0443,         0.0011,    2.59,  2.6887E+04,  3.2E+02,    1.18
 21,   6,  9p3/2,  9s1/2,        34062.8(4)  ,           69.38(15) ,        ,      0.1016(24),  6.170(26)E+04  ,        34062.8,         0.4,   0.00,       69.38,        0.15,    0.21,         0.1016,         0.0024,    2.36,  6.1698E+04,  2.6E+02,    0.43
 21,  28,  9p3/2,  3d3/2,       876.8132(4)  ,          0.1010(51) ,        ,      0.0126(13),  7.67(77)E+03   ,       876.8132,      0.0004,   0.00,      0.1010,      0.0051,    5.04,         0.0126,         0.0013,   10.22,  7.6662E+03,  7.7E+02,   10.08
 21,  29,  9p3/2,  3d5/2,       876.6358(4)  ,           0.303(15) ,        ,       0.114(10),  6.91(69)E+04   ,       876.6358,      0.0004,   0.00,       0.303,       0.015,    5.02,          0.114,          0.010,    9.12,  6.9071E+04,  6.9E+03,   10.04
 21,  30,  9p3/2,  4d3/2,       1803.824(2)  ,           0.328(13) ,        ,      0.0153(12),  9.29(72)E+03   ,       1803.824,       0.002,   0.00,       0.328,       0.013,    3.89,         0.0153,         0.0012,    8.00,  9.2890E+03,  7.2E+02,    7.77
 21,  31,  9p3/2,  4d5/2,       1803.476(2)  ,           0.985(38) ,        ,      0.1378(96),  8.37(65)E+04   ,       1803.476,       0.002,   0.00,       0.985,       0.038,    3.87,         0.1378,         0.0096,    6.99,  8.3724E+04,  6.5E+03,    7.74
 21,  32,  9p3/2,  5d3/2,       3628.212(6)  ,           0.892(36) ,        ,      0.0139(11),  8.43(68)E+03   ,       3628.212,       0.006,   0.00,       0.892,       0.036,    4.02,         0.0139,         0.0011,    8.25,  8.4332E+03,  6.8E+02,    8.03
 21,  33,  9p3/2,  5d5/2,       3627.549(6)  ,            2.68(11) ,        ,      0.1251(91),  7.60(61)E+04   ,       3627.549,       0.006,   0.00,        2.68,        0.11,    3.99,         0.1251,         0.0091,    7.29,  7.6009E+04,  6.1E+03,    7.98
 21,  34,  9p3/2,  6d3/2,        8027.23(3)  ,            2.80(10) ,        ,     0.01264(94),  7.67(55)E+03   ,        8027.23,        0.03,   0.00,        2.80,        0.10,    3.56,        0.01264,        0.00094,    7.41,  7.6750E+03,  5.5E+02,    7.13
 21,  35,  9p3/2,  6d5/2,        8025.52(3)  ,            8.40(30) ,        ,      0.1139(76),  6.92(49)E+04   ,        8025.52,        0.03,   0.00,        8.40,        0.30,    3.54,         0.1139,         0.0076,    6.63,  6.9171E+04,  4.9E+03,    7.07
 21,  36,  9p3/2,  7d3/2,        29113.6(3)  ,           22.21(73) ,        ,      0.0167(11),  1.013(67)E+04  ,        29113.6,         0.3,   0.00,       22.21,        0.73,    3.29,         0.0167,         0.0011,    6.88,  1.0130E+04,  6.7E+02,    6.58
 21,  37,  9p3/2,  7d5/2,        29100.4(3)  ,            66.6(22) ,        ,      0.1502(90),  9.12(60)E+04   ,        29100.4,         0.3,   0.00,        66.6,         2.2,    3.28,         0.1502,         0.0090,    5.96,  9.1213E+04,  6.0E+03,    6.56
 23,   1, 10p3/2,  4s1/2,       299.2991     ,          0.0177(29) ,        ,      0.0141(46),  5.9(19)E+03    ,       299.2991,      0.0000,   0.00,      0.0177,      0.0029,   16.44,         0.0141,         0.0046,   32.50,  5.9106E+03,  1.9E+03,   32.88
 23,   2, 10p3/2,  5s1/2,       807.4383(4)  ,          0.1292(21) ,        ,      0.0382(15),  1.605(52)E+04  ,       807.4383,      0.0004,   0.00,      0.1292,      0.0021,    1.61,         0.0382,         0.0015,    3.84,  1.6052E+04,  5.2E+02,    3.22
 23,   3, 10p3/2,  6s1/2,       1677.659(1)  ,          0.3625(37) ,        ,      0.0335(10),  1.410(29)E+04  ,       1677.659,       0.001,   0.00,      0.3625,      0.0037,    1.03,         0.0335,         0.0010,    3.02,  1.4096E+04,  2.9E+02,    2.05
 23,   4, 10p3/2,  7s1/2,       3187.607(4)  ,          0.8891(76) ,        ,     0.02940(83),  1.236(21)E+04  ,       3187.607,       0.004,   0.00,      0.8891,      0.0076,    0.86,        0.02940,        0.00083,    2.82,  1.2362E+04,  2.1E+02,    1.72
 23,   5, 10p3/2,  8s1/2,        6075.25(2)  ,           2.289(14) ,        ,     0.02814(73),  1.183(15)E+04  ,        6075.25,        0.02,   0.00,       2.289,       0.014,    0.62,        0.02814,        0.00073,    2.58,  1.1833E+04,  1.5E+02,    1.25
 23,   6, 10p3/2,  9s1/2,       13105.34(5)  ,           7.793(44) ,        ,     0.03251(82),  1.367(15)E+04  ,       13105.34,        0.05,   0.00,       7.793,       0.044,    0.56,        0.03251,        0.00082,    2.52,  1.3668E+04,  1.5E+02,    1.12
 23,   7, 10p3/2, 10s1/2,        50717.2(8)  ,           89.99(19) ,        ,      0.0748(17),  3.144(13)E+04  ,        50717.2,         0.8,   0.00,       89.99,        0.19,    0.21,         0.0748,         0.0017,    2.31,  3.1445E+04,  1.3E+02,    0.41
 23,  28, 10p3/2,  3d3/2,       842.1471(4)  ,          0.0807(39) ,        ,      0.0131(13),  5.52(54)E+03   ,       842.1471,      0.0004,   0.00,      0.0807,      0.0039,    4.89,         0.0131,         0.0013,    9.92,  5.5204E+03,  5.4E+02,    9.79
 23,  29, 10p3/2,  3d5/2,       841.9834(4)  ,           0.242(12) ,        ,       0.118(10),  4.97(48)E+04   ,       841.9834,      0.0004,   0.00,       0.242,       0.012,    4.87,          0.118,          0.010,    8.82,  4.9723E+04,  4.8E+03,    9.75
 23,  30, 10p3/2,  4d3/2,       1662.994(2)  ,          0.2360(92) ,        ,      0.0146(12),  6.14(48)E+03   ,       1662.994,       0.002,   0.00,      0.2360,      0.0092,    3.90,         0.0146,         0.0012,    8.02,  6.1364E+03,  4.8E+02,    7.80
 23,  31, 10p3/2,  4d5/2,       1662.698(2)  ,           0.708(28) ,        ,      0.1315(93),  5.53(43)E+04   ,       1662.698,       0.002,   0.00,       0.708,       0.028,    3.88,         0.1315,         0.0093,    7.05,  5.5308E+04,  4.3E+03,    7.77
 23,  32, 10p3/2,  5d3/2,       3100.149(4)  ,           0.565(23) ,        ,      0.0129(11),  5.42(45)E+03   ,       3100.149,       0.004,   0.00,       0.565,       0.023,    4.12,         0.0129,         0.0011,    8.44,  5.4182E+03,  4.5E+02,    8.23
 23,  33, 10p3/2,  5d5/2,       3099.665(4)  ,           1.694(69) ,        ,      0.1161(87),  4.88(40)E+04   ,       3099.665,       0.004,   0.00,       1.694,       0.069,    4.09,         0.1161,         0.0087,    7.53,  4.8833E+04,  4.0E+03,    8.19
 23,  34, 10p3/2,  6d3/2,        5830.11(1)  ,           1.344(55) ,        ,     0.01097(92),  4.61(38)E+03   ,        5830.11,        0.01,   0.00,       1.344,       0.055,    4.07,        0.01097,        0.00092,    8.37,  4.6143E+03,  3.8E+02,    8.14
 23,  35, 10p3/2,  6d5/2,        5829.21(1)  ,            4.03(16) ,        ,      0.0989(75),  4.16(34)E+04   ,        5829.21,        0.01,   0.00,        4.03,        0.16,    4.04,         0.0989,         0.0075,    7.59,  4.1586E+04,  3.4E+03,    8.09
 23,  36, 10p3/2,  7d3/2,       12300.81(5)  ,            3.92(14) ,        ,     0.00996(74),  4.19(30)E+03   ,       12300.81,        0.05,   0.00,        3.92,        0.14,    3.58,        0.00996,        0.00074,    7.44,  4.1887E+03,  3.0E+02,    7.15
 23,  37, 10p3/2,  7d5/2,       12298.45(5)  ,           11.77(42) ,        ,      0.0898(61),  3.77(27)E+04   ,       12298.45,        0.05,   0.00,       11.77,        0.42,    3.55,         0.0898,         0.0061,    6.82,  3.7749E+04,  2.7E+03,    7.09
 23,  38, 10p3/2,  8d3/2,        42887.9(6)  ,           29.53(93) ,        ,     0.01331(89),  5.60(35)E+03   ,        42887.9,         0.6,   0.00,       29.53,        0.93,    3.16,        0.01331,        0.00089,    6.65,  5.5982E+03,  3.5E+02,    6.33
 23,  39, 10p3/2,  8d5/2,        42869.8(6)  ,            88.5(28) ,        ,      0.1199(71),  5.04(32)E+04   ,        42869.8,         0.6,   0.00,        88.5,         2.8,    3.15,         0.1199,         0.0071,    5.95,  5.0406E+04,  3.2E+03,    6.31
 25,   1, 11p3/2,  4s1/2,       296.4076     ,          0.0136(24) ,        ,      0.0119(43),  3.6(13)E+03    ,       296.4076,      0.0000,   0.00,      0.0136,      0.0024,   18.03,         0.0119,         0.0043,   35.70,  3.5834E+03,  1.3E+03,   36.07
 25,   2, 11p3/2,  5s1/2,       786.7339(4)  ,          0.0996(17) ,        ,      0.0343(14),  1.033(36)E+04  ,       786.7339,      0.0004,   0.00,      0.0996,      0.0017,    1.72,         0.0343,         0.0014,    4.01,  1.0325E+04,  3.6E+02,    3.44
 25,   3, 11p3/2,  6s1/2,       1590.680(1)  ,          0.2652(30) ,        ,     0.02941(92),  8.85(20)E+03   ,       1590.680,       0.001,   0.00,      0.2652,      0.0030,    1.13,        0.02941,        0.00092,    3.13,  8.8517E+03,  2.0E+02,    2.25
 25,   4, 11p3/2,  7s1/2,       2887.603(4)  ,          0.5943(59) ,        ,     0.02468(73),  7.43(15)E+03   ,       2887.603,       0.004,   0.00,      0.5943,      0.0059,    0.99,        0.02468,        0.00073,    2.96,  7.4307E+03,  1.5E+02,    1.98
 25,   5, 11p3/2,  8s1/2,        5071.12(1)  ,           1.302(10) ,        ,     0.02186(60),  6.58(11)E+03   ,        5071.12,        0.01,   0.00,       1.302,       0.010,    0.80,        0.02186,        0.00060,    2.74,  6.5802E+03,  1.1E+02,    1.61
 25,   6, 11p3/2,  9s1/2,        9182.93(3)  ,           3.132(19) ,        ,     0.02132(54),  6.418(78)E+03  ,        9182.93,        0.03,   0.00,       3.132,       0.019,    0.61,        0.02132,        0.00054,    2.53,  6.4179E+03,  7.8E+01,    1.21
 25,   7, 11p3/2, 10s1/2,        19116.7(1)  ,          10.183(55) ,        ,     0.02497(62),  7.518(81)E+03  ,        19116.7,         0.1,   0.00,      10.183,       0.055,    0.54,        0.02497,        0.00062,    2.47,  7.5177E+03,  8.1E+01,    1.08
 25,   8, 11p3/2, 11s1/2,          72062(2)  ,          113.25(23) ,        ,      0.0577(13),  1.7361(70)E+04 ,         72062 ,          2 ,   0.00,      113.25,        0.23,    0.20,         0.0577,         0.0013,    2.27,  1.7361E+04,  7.0E+01,    0.40
 25,  28, 11p3/2,  3d3/2,       819.6493(4)  ,          0.0650(32) ,        ,      0.0129(13),  3.89(38)E+03   ,       819.6493,      0.0004,   0.00,      0.0650,      0.0032,    4.91,         0.0129,         0.0013,    9.94,  3.8891E+03,  3.8E+02,    9.81
 25,  29, 11p3/2,  3d5/2,       819.4942(4)  ,          0.1951(95) ,        ,       0.116(10),  3.50(34)E+04   ,       819.4942,      0.0004,   0.00,      0.1951,      0.0095,    4.89,          0.116,          0.010,    8.85,  3.5029E+04,  3.4E+03,    9.77
 25,  30, 11p3/2,  4d3/2,       1577.491(1)  ,          0.1821(71) ,        ,      0.0142(11),  4.28(33)E+03   ,       1577.491,       0.001,   0.00,      0.1821,      0.0071,    3.90,         0.0142,         0.0011,    8.01,  4.2797E+03,  3.3E+02,    7.80
 25,  31, 11p3/2,  4d5/2,       1577.225(1)  ,           0.547(21) ,        ,      0.1281(91),  3.86(30)E+04   ,       1577.225,       0.001,   0.00,       0.547,       0.021,    3.89,         0.1281,         0.0091,    7.06,  3.8572E+04,  3.0E+03,    7.77
 25,  32, 11p3/2,  5d3/2,       2815.648(3)  ,           0.405(17) ,        ,      0.0124(10),  3.72(31)E+03   ,       2815.648,       0.003,   0.00,       0.405,       0.017,    4.14,         0.0124,         0.0010,    8.48,  3.7211E+03,  3.1E+02,    8.29
 25,  33, 11p3/2,  5d5/2,       2815.248(3)  ,           1.215(50) ,        ,      0.1114(85),  3.35(28)E+04   ,       2815.248,       0.003,   0.00,       1.215,       0.050,    4.12,         0.1114,         0.0085,    7.60,  3.3536E+04,  2.8E+03,    8.24
 25,  34, 11p3/2,  6d3/2,        4899.17(1)  ,           0.846(35) ,        ,     0.01024(88),  3.08(26)E+03   ,        4899.17,        0.01,   0.00,       0.846,       0.035,    4.18,        0.01024,        0.00088,    8.58,  3.0813E+03,  2.6E+02,    8.37
