  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 23,   2, 11p3/2,  6s1/2,        834.306(1)  ,          0.1823(32) ,        ,      0.0483(17),  2.90(10)E+04   ,        834.306,       0.001,   0.00,      0.1823,      0.0032,    1.76,         0.0483,         0.0017,    3.55,  2.8984E+04,  1.0E+03,    3.52
 23,   3, 11p3/2,  7s1/2,       1722.035(4)  ,          0.4624(38) ,        ,     0.03534(69),  2.121(34)E+04  ,       1722.035,       0.004,   0.00,      0.4624,      0.0038,    0.81,        0.03534,        0.00069,    1.95,  2.1213E+04,  3.4E+02,    1.62
 23,   4, 11p3/2,  8s1/2,        3255.52(1)  ,          1.0743(76) ,        ,     0.02823(51),  1.694(24)E+04  ,        3255.52,        0.01,   0.00,      1.0743,      0.0076,    0.71,        0.02823,        0.00051,    1.81,  1.6945E+04,  2.4E+02,    1.42
 23,   5, 11p3/2,  9s1/2,        6174.79(5)  ,           2.653(18) ,        ,     0.02523(45),  1.514(21)E+04  ,        6174.79,        0.05,   0.00,       2.653,       0.018,    0.69,        0.02523,        0.00045,    1.78,  1.5145E+04,  2.1E+02,    1.37
 23,   6, 11p3/2, 10s1/2,        13224.2(2)  ,           8.628(60) ,        ,     0.02717(49),  1.631(23)E+04  ,        13224.2,         0.2,   0.00,       8.628,       0.060,    0.70,        0.02717,        0.00049,    1.79,  1.6306E+04,  2.3E+02,    1.39
 23,   7, 11p3/2, 11s1/2,          49677(3)  ,           89.31(20) ,        ,     0.05490(68),  3.295(15)E+04  ,         49677 ,          3 ,   0.01,       89.31,        0.20,    0.22,        0.05490,        0.00068,    1.25,  3.2954E+04,  1.5E+02,    0.45
 23,  28, 11p3/2,  4d3/2,       783.5228(9)  ,          0.0891(15) ,        ,     0.01392(50),  8.35(29)E+03   ,       783.5228,      0.0009,   0.00,      0.0891,      0.0015,    1.72,        0.01392,        0.00050,    3.59,  8.3525E+03,  2.9E+02,    3.44
 23,  29, 11p3/2,  4d5/2,       783.4954(9)  ,          0.2673(44) ,        ,      0.1254(39),  7.53(25)E+04   ,       783.4954,      0.0009,   0.00,      0.2673,      0.0044,    1.66,         0.1254,         0.0039,    3.10,  7.5273E+04,  2.5E+03,    3.31
 23,  30, 11p3/2,  5d3/2,       1558.122(3)  ,          0.2619(41) ,        ,     0.01530(50),  9.18(28)E+03   ,       1558.122,       0.003,   0.00,      0.2619,      0.0041,    1.55,        0.01530,        0.00050,    3.26,  9.1820E+03,  2.8E+02,    3.09
 23,  31, 11p3/2,  5d5/2,       1558.841(3)  ,           0.787(12) ,        ,      0.1379(38),  8.28(24)E+04   ,       1558.841,       0.003,   0.00,       0.787,       0.012,    1.48,         0.1379,         0.0038,    2.78,  8.2764E+04,  2.4E+03,    2.96
 23,  32, 11p3/2,  6d3/2,        2914.27(1)  ,          0.6173(87) ,        ,     0.01299(39),  7.80(22)E+03   ,        2914.27,        0.01,   0.00,      0.6173,      0.0087,    1.40,        0.01299,        0.00039,    3.01,  7.7973E+03,  2.2E+02,    2.81
 23,  33, 11p3/2,  6d5/2,        2916.19(1)  ,           1.855(25) ,        ,      0.1170(31),  7.02(19)E+04   ,        2916.19,        0.01,   0.00,       1.855,       0.025,    1.34,         0.1170,         0.0031,    2.62,  7.0249E+04,  1.9E+03,    2.68
 23,  34, 11p3/2,  7d3/2,        5439.49(4)  ,           1.442(19) ,        ,     0.01090(31),  6.54(17)E+03   ,        5439.49,        0.04,   0.00,       1.442,       0.019,    1.30,        0.01090,        0.00031,    2.83,  6.5438E+03,  1.7E+02,    2.61
 23,  35, 11p3/2,  7d5/2,        5443.95(4)  ,           4.333(54) ,        ,      0.0982(25),  5.89(15)E+04   ,        5443.95,        0.04,   0.00,       4.333,       0.054,    1.24,         0.0982,         0.0025,    2.52,  5.8932E+04,  1.5E+03,    2.49
 23,  36, 11p3/2,  8d3/2,        11147.3(2)  ,           3.990(46) ,        ,     0.00970(25),  5.82(13)E+03   ,        11147.3,         0.2,   0.00,       3.990,       0.046,    1.15,        0.00970,        0.00025,    2.57,  5.8218E+03,  1.3E+02,    2.31
 23,  37, 11p3/2,  8d5/2,        11159.9(2)  ,           11.99(13) ,        ,      0.0873(20),  5.24(12)E+04   ,        11159.9,         0.2,   0.00,       11.99,        0.13,    1.10,         0.0873,         0.0020,    2.32,  5.2418E+04,  1.2E+03,    2.20
 23,  38, 11p3/2,  9d3/2,          33708(2)  ,           21.99(35) ,        ,     0.01065(36),  6.40(21)E+03   ,         33708 ,          2 ,   0.00,       21.99,        0.35,    1.61,        0.01065,        0.00036,    3.39,  6.3954E+03,  2.1E+02,    3.21
 23,  39, 11p3/2,  9d5/2,          33787(2)  ,            66.2(10) ,        ,      0.0958(29),  5.75(18)E+04   ,         33787 ,          2 ,   0.00,        66.2,         1.0,    1.53,         0.0958,         0.0029,    2.98,  5.7530E+04,  1.8E+03,    3.05
 25,   1, 12p3/2,  5s1/2,       308.2895(5)  ,          0.0325(31) ,        ,      0.0420(78),  1.82(35)E+04   ,       308.2895,      0.0005,   0.00,      0.0325,      0.0031,    9.66,         0.0420,         0.0078,   18.52,  1.8212E+04,  3.5E+03,   19.31
 25,   2, 12p3/2,  6s1/2,        812.709(3)  ,          0.1428(22) ,        ,      0.0444(14),  1.925(60)E+04  ,        812.709,       0.003,   0.00,      0.1428,      0.0022,    1.56,         0.0444,         0.0014,    3.18,  1.9250E+04,  6.0E+02,    3.12
