From,To,value,uncertainity,Matrixelement,Ref
1,2,4.4978,0.0061,4.4978(61),E27
1,3,6.3349,0.0048,6.3349(48),E67
4,1,0.2781,0.00045,0.27810(45),E64
5,1,0.57417,0.00057,0.57417(57),E64
