From,To,value,uncertainity,Matrixelement,Ref
1,10,4.231,0.003,4.231(3),E31
1,11,5.978,0.005,5.978(5),E31
1,12,0.3235,0.0009,0.3235(9),E66
1,13,0.523,0.0008,0.5230(8),E66
