  Transition         Wavelength            Matrix el.           Br. ratio       Tran. rate        Wavelength       Unc   Unc %   Matrix el.     Unc   Unc %     Br. ratio     Unc    Unc %  Tran. rate    Unc     Unc %
12s1/2  10p1/2        6687.5(2)            4.514(58)              0.0372(10)    6.90(18)E+04           6687.5        0.2   0.00      4.514      0.058    1.28         0.0372        0.0010    2.75  6.9008E+04  1.8E+03    2.56
12s1/2  10p3/2        7345.3(3)             5.31(13)              0.0389(19)    7.21(36)E+04           7345.3        0.3   0.00       5.31       0.13    2.52         0.0389        0.0019    4.98  7.2149E+04  3.6E+03    5.03
12s1/2  11p1/2         25098(3)            35.19(26)             0.04279(80)    7.94(12)E+04           25098          3    0.01      35.19       0.26    0.75        0.04279       0.00080    1.88  7.9350E+04  1.2E+03    1.49
12s1/2  11p3/2         31456(5)            57.94(41)              0.0589(11)    1.093(16)E+05          31456          5    0.02      57.94       0.41    0.72         0.0589        0.0011    1.82  1.0928E+05  1.6E+03    1.43
13s1/2   7p1/2      530.1066(2)           0.2053(26)              0.2301(51)    2.866(72)E+05        530.1066     0.0002   0.00     0.2053     0.0026    1.26         0.2301        0.0051    2.22  2.8657E+05  7.2E+03    2.53
13s1/2   7p3/2      582.1555(2)           0.2619(43)              0.2829(70)    3.52(12)E+05         582.1555     0.0002   0.00     0.2619     0.0043    1.64         0.2829        0.0070    2.48  3.5231E+05  1.2E+04    3.29
13s1/2   8p1/2      1251.787(1)           0.4674(49)              0.0906(20)    1.128(24)E+05        1251.787      0.001   0.00     0.4674     0.0049    1.04         0.0906        0.0020    2.25  1.1281E+05  2.4E+03    2.09
13s1/2   8p3/2      1343.502(1)           0.5504(80)              0.1016(29)    1.266(37)E+05        1343.502      0.001   0.00     0.5504     0.0080    1.45         0.1016        0.0029    2.86  1.2656E+05  3.7E+03    2.90
13s1/2   9p1/2       2510.46(3)            0.981(12)              0.0494(13)    6.16(15)E+04          2510.46       0.03   0.00      0.981      0.012    1.25         0.0494        0.0013    2.67  6.1562E+04  1.5E+03    2.51
13s1/2   9p3/2       2677.13(4)            1.103(25)              0.0516(23)    6.42(29)E+04          2677.13       0.04   0.00      1.103      0.025    2.29         0.0516        0.0023    4.50  6.4211E+04  2.9E+03    4.57
13s1/2  10p1/2        4908.3(1)            2.180(32)              0.0327(10)    4.07(12)E+04           4908.3        0.1   0.00      2.180      0.032    1.45         0.0327        0.0010    3.06  4.0722E+04  1.2E+03    2.91
13s1/2  10p3/2        5253.6(1)            2.417(67)              0.0328(18)    4.08(23)E+04           5253.6        0.1   0.00      2.417      0.067    2.78         0.0328        0.0018    5.52  4.0814E+04  2.3E+03    5.57
13s1/2  11p1/2       10633.0(6)            6.179(88)             0.02583(78)    3.217(91)E+04         10633.0        0.6   0.01      6.179      0.088    1.42        0.02583       0.00078    3.02  3.2172E+04  9.1E+02    2.84
13s1/2  11p3/2       11628.7(7)             7.12(21)              0.0263(15)    3.27(19)E+04          11628.7        0.7   0.01       7.12       0.21    2.89         0.0263        0.0015    5.75  3.2698E+04  1.9E+03    5.78
13s1/2  12p1/2         38379(7)            47.28(40)             0.03217(65)    4.007(67)E+04          38379          7    0.02      47.28       0.40    0.84        0.03217       0.00065    2.03  4.0066E+04  6.7E+02    1.68
13s1/2  12p3/2        47990(10)            77.49(61)             0.04419(85)    5.504(86)E+04          47989         12    0.02      77.49       0.61    0.78        0.04419       0.00085    1.93  5.5039E+04  8.6E+02    1.57
14s1/2   7p1/2      519.9111(2)           0.1667(21)              0.2288(51)    2.002(50)E+05        519.9111     0.0002   0.00     0.1667     0.0021    1.26         0.2288        0.0051    2.21  2.0023E+05  5.0E+03    2.51
14s1/2   7p3/2      569.8828(2)           0.2120(35)              0.2811(70)    2.461(81)E+05        569.8828     0.0002   0.00     0.2120     0.0035    1.66         0.2811        0.0070    2.50  2.4606E+05  8.1E+03    3.31
14s1/2   8p1/2      1196.386(1)           0.3636(37)              0.0893(20)    7.82(16)E+04         1196.386      0.001   0.00     0.3636     0.0037    1.03         0.0893        0.0020    2.23  7.8197E+04  1.6E+03    2.06
14s1/2   8p3/2      1279.892(1)           0.4260(62)              0.1002(29)    8.77(25)E+04         1279.892      0.001   0.00     0.4260     0.0062    1.45         0.1002        0.0029    2.86  8.7677E+04  2.5E+03    2.90
14s1/2   9p1/2       2297.13(3)           0.7089(90)              0.0480(13)    4.20(11)E+04          2297.13       0.03   0.00     0.7089     0.0090    1.26         0.0480        0.0013    2.69  4.1995E+04  1.1E+03    2.53
14s1/2   9p3/2       2435.90(3)            0.789(18)              0.0499(23)    4.37(20)E+04          2435.90       0.03   0.00      0.789      0.018    2.31         0.0499        0.0023    4.54  4.3664E+04  2.0E+03    4.61
14s1/2  10p1/2       4154.06(9)            1.380(21)             0.03074(97)    2.690(81)E+04         4154.06       0.09   0.00      1.380      0.021    1.51        0.03074       0.00097    3.16  2.6901E+04  8.1E+02    3.01
14s1/2  10p3/2        4398.7(1)            1.495(43)              0.0304(17)    2.66(15)E+04           4398.7        0.1   0.00      1.495      0.043    2.86         0.0304        0.0017    5.68  2.6615E+04  1.5E+03    5.72
14s1/2  11p1/2        7631.3(3)            2.934(48)             0.02242(77)    1.962(65)E+04          7631.3        0.3   0.00      2.934      0.048    1.65        0.02242       0.00077    3.44  1.9625E+04  6.5E+02    3.29
14s1/2  11p3/2        8131.0(3)             3.17(10)              0.0217(14)    1.90(12)E+04           8131.0        0.3   0.00       3.17       0.10    3.25         0.0217        0.0014    6.47  1.8967E+04  1.2E+03    6.49
14s1/2  12p1/2         15861(1)             8.09(12)             0.01900(62)    1.663(51)E+04          15861          1    0.01       8.09       0.12    1.53        0.01900       0.00062    3.24  1.6632E+04  5.1E+02    3.06
14s1/2  12p3/2         17292(2)             9.19(29)              0.0189(12)    1.66(11)E+04           17292          2    0.01       9.19       0.29    3.18         0.0189        0.0012    6.35  1.6555E+04  1.1E+03    6.35
14s1/2  13p1/2        55630(20)            61.12(55)             0.02511(54)    2.198(40)E+04          55634         16    0.03      61.12       0.55    0.90        0.02511       0.00054    2.13  2.1977E+04  4.0E+02    1.80
14s1/2  13p3/2        69440(20)            99.81(83)             0.03444(69)    3.014(50)E+04          69442         24    0.03      99.81       0.83    0.83        0.03444       0.00069    2.01  3.0140E+04  5.0E+02    1.66
 7p1/2   7s1/2      817.1664(2)              4.277(8) E37         1.0           3.396(13)E+07        817.1664     0.0002   0.00     4.2770     0.0080    0.19  1.00000000000 0.00000000000    0.00  3.3961E+07  1.3E+05    0.37
 8p1/2   7s1/2      432.6577(1)            0.328(33)               0.174(31)    1.34(27)E+06         432.6577     0.0001   0.00      0.328      0.033    9.92          0.174         0.031   17.73  1.3433E+06  2.7E+05   19.84
 8p1/2   8s1/2       2964.74(3)           10.092(17)               0.512(39)    3.960(13)E+06         2964.74       0.03   0.00     10.092      0.017    0.17          0.512         0.039    7.57  3.9597E+06  1.3E+04    0.33
 8p1/2   6d3/2      1452.836(6)             2.71(29)               0.314(48)    2.42(52)E+06         1452.836      0.006   0.00       2.71       0.29   10.74          0.314         0.048   15.14  2.4244E+06  5.2E+05   21.49
